Organization,Address,Reviewer,Review Title,Review,Review Count,Help Count,Attraction Count,Restaurant Count,Hotel Count,Location,Rating Date,Rating
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,Lorna C,What an amazing group of people,On our recent trip from Florida to our home in Guelph  we stopped at the Hampton Inn and Suites in Windsor  Ontario. My husband needed to be taken by ambulance from our room to a local hospital. The ladies at the front desk immediately responded to my call for help and were so thoughtful and helpful for the duration of...,1,0,0,0,0,Regina  Canada,5 weeks ago,5
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,ryan f,Solid hotel experience,Great hotel  great staff. The rooms were clean and comfortable. Even the sofa bed wasn't that bad. The breakfast was typical continental but good. The only issues really were the elevators were kinda slow but the hotel was really packed and everyone was using them all at the same times of the day. Definitely recommend this hotel. I've stayed there...,12,5,0,0,0,Region of Waterloo  Canada,11 April 2017,5
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,388barryk,A good hotel and a convenient location,Hampton inn is part of the Hilton chain. This property is very handy to the downtown area without being right downtown. Direct access to the Ambassador bridge to the USA (Detroit). Great value  clean rooms and friendly staff. Free parking. All amenities close by.,7,2,0,0,6,Toronto  Canada,8 April 2017,5
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,Toddan2015,Clean and comfortable,A clean and comfortable hotel. A great complimentary breakfast and coffee and cookies in the evening. Hotel is on a busy truck route  try for a room at the backside. The staff is very friendly and helpful.,35,21,0,0,12,Ottawa  Canada,4 April 2017,4
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,Gtrotter2008,Excellent location  just minutes away from Ambassador Bridge,This is an older property. Furniture in the rooms are bit older but rooms are clean and property is well maintained. Location is excellent  just minutes away from Ambassador bridge. Friendly staff. Breakfast is typical Hampton Inn breakfast. Make sure you reserve a room from back side of the building - no traffic noise!,70,19,0,0,47,Park Ridge  Illinois,3 April 2017,4
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,Carol1319,Great place to stay,Clean rooms  comfortable beds  nice staff  quick breakfast with choices  and outside of downtown but easily accessible by car. Highly recommend. Consider staying on backside away from road for very quiet night. Best choice in Windsor for business or slightly upscale travelers.,63,53,0,0,8,Toronto  Ontario,30 March 2017,4
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,lorisN2097ZQ,Would recommend,No restaurant in hotel which lowers convenience to those traveling after a long trip. Staff  room and location very good. Our room was quiet. Good indoor pool but no change room within enclosed pool area.,1,0,0,0,0,Phoenix  Arizona,28 March 2017,5
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,JEAN1999,Worth a re-visit,we stayed there one night travelling from a funeral. The hotel was conveniently located a few miles from the US/CA bridge. The hotel room and bathroom were very clean. The room was very comfortable and had all of the necessary amenities. Breakfast was very good and had a good variety. The breakfast area was large and could accommodate many guests...,135,28,0,0,27,Mount Forest  Canada,26 March 2017,5
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,p0s0,Leave the Vacuuming till later!,We were visiting Winsor on March Break last week and found the hotel to be nice overall. It was as clean as you would expect from the Hampton Inn (including the pool) and breakfast had a fair amount of variety but it is continental so the quality of food is so so. We stayed on the 4th floor and both...,2,11,0,0,0,toronto,23 March 2017,5
Hampton Inn & Suites by Hilton Windsor,1840 Huron Church Rd Windsor Ontario N9C 2L5 Canada,Carmela B,Short Visit,We stayed here 1 night because we had gone up there for a funeral. The rooms are spacious and lots of room for clothes. We had 2 double beds so I had my bed and my husband had his. The front lobby area is where they have coffee and newspapers and cookies for later in the day. Farther in the...,95,35,0,0,10,Penetanguishene  Canada,15 March 2017,4
The Thief,Landgangen 1 Oslo 0252 Norway,,Extravagant and pronounced,My fiancé and me stayed here for a little get away and to attend a art exhibit nearby. The hotel staff is over the top friendly and proffesional. The service is extraordinary great. The design and total layout of this concept is wonderful. Even the minor details are thought through and specified to meet the top of the line! Way...,26,0,0,0,0,London  England  United Kingdom,2 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SteffanTvete,Great hotel,Really enjoying my stay here .great rooms with balconies over looking the harbour.Very friendly helpful staff .Amazing art collection with Damion hurst piece in the food bar Very relaxing and enjoyable stat I look forward to coming back Dominic who welcomes the guest gave me a tour of the pieces on display and will do anything to help Great,5,3,0,0,6,Mexico City  Mexico,2 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Colin R,Above and Beyond,Greetings and many thanks or your review of our property . Great to read you had such an enjoyable stay . As you mentioned we have a fine collection of modern and contemporary art including Damian Hurst   Jeff Koons and Richard Prince amongst others . Were also located adjacent to the Astrup Fearnley museum and provide free entry for...,32,1,0,0,0,Birmingham  United Kingdom,3 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,SantiagoDTK,Lovely Oslo,The Thief is located in a very trendy  posh area full of excelent restaurants  museums and sites! The staff went above and beyond to make sure our stay was memorable. We stayed for 3 nights on our honeymoon  the service at the front desk was very friendly and most helpfull  breakfast was delicious  the staff there was also very acommodating....,2,2,0,0,8,Vosselaar  Belgium,6 days ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Alan0509,Excellent hotel in a new part of the city,"Greetings and many thanks for your review of The Thief . Great to read you decided to spend such a memorable occasion with us . To hear the breakfast described as ""delicious"" is a pleasure as chef Johan takes great pride in his locally sourced and seasonal Norwegian fare . Your recommendation is much appreciated and I´ll be sharing your...",11,0,0,0,0,Los Angeles  California,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,samv583,Best Hotel in Oslo  Maybe Norway,I stayed there just for one night but honestly I would love to extend my stay for the whole month . Lovely staff  very helpful and the food simply amazing . The view it s extremely beautiful and the vibe of the location it s top notch. I totally recommend to everyone. Thank you for a great service   Regards...,8,3,0,0,3,Melbourne  Australia,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,Grace C,Amazing!!!!!!!!!!!!!,"Greetings and many thanks for your review of our property . Great to read you had such an enjoyable stay . To hear our food described as ""simply amazing"" is a true pleasure and I´ll be sharing your thoughts with our crew of very talented chefs . Your recommendation is much appreciated . Wishing you a warm   colourful Spring...",1,3,0,0,6,Fredrikstad  Norway,2 weeks ago,5
The Thief,Landgangen 1 Oslo 0252 Norway,AlexiaRichmond,Delightful boutique hotel,This hotel gives everything a traveller wants: upscale rooms with nice decorations  excellent bar(tenders)  fantastic breakfast and most of all very  very friendly people assisting you. I had room 614 which had an excellent view. The hotel is located in a new part of the city next to a museum of art.,13,review2,0,0,0,Langesund  Norway,2 weeks ago,5
